Event,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination,AN
 Classical ,eisaaaa,HAMID449,1-0,2016.06.30,22:00:01,1901,1896,11,-11,D10,Slav Defense,300+5,Time forfeit,1. d4 d5 2. c4 c6 3. e3 a6 4. Nf3 e5 5. cxd5 e4 6. Ne5 cxd5 7. Qa4+ Bd7 8. Nxd7 Nxd7 9. Nc3 Nf6 10. Qb3 Be7 11. Nxd5 Qa5+ 12. Nc3 O-O 13. Be2 b5 14. O-O Rad8 15. Bd2 Qc7 16. Rac1 Qd6 17. Qc2 Qe6 18. Nb1 Bd6 19. a3 Nb6 20. Qc6 Nfd5 21. Ba5 Rc8 22. Qb7 Qh6 23. h3 Nc4 24. Bxc4 bxc4 25. Qxd5 Rfd8 26. Qxe4 Rd7 27. Bc3 Re7 28. Qf3 Re6 29. Nd2 Rf6 30. Qg4 Re8 31. Ne4 Rg6 32. Qd7 Rf8 33. Nxd6 Rxd6 34. Qc7 Rg6 35. Qh2 Re8 36. d5 f6 37. d6 Rd8 38. Rfd1 1-0
 Blitz ,go4jas,Sergei1973,0-1,2016.06.30,22:00:01,1641,1627,-11,12,C20,King's Pawn Opening: 2.b3,300+0,Normal,1. e4 e5 2. b3 Nf6 3. Bb2 Nc6 4. Nf3 d6 5. d3 g6 6. Nbd2 Bg7 7. g3 Be6 8. Bg2 Qd7 9. O-O O-O 10. c3 b5 11. d4 exd4 12. cxd4 Bg4 13. Rc1 Rfe8 14. Qc2 Nb4 15. Qxc7 Qxc7 16. Rxc7 Nxa2 17. Ra1 Nb4 18. Raxa7 Rxa7 19. Rxa7 Nxe4 20. Nxe4 Rxe4 21. Ng5 Re1+ 22. Bf1 Be2 23. Rxf7 Bxf1 24. Kh1 Bh3# 0-1
 Blitz tournament ,Evangelistaizac,kafune,1-0,2016.06.30,22:00:02,1647,1688,13,-13,B01,Scandinavian Defense: Mieses-Kotroc Variation,180+0,Time forfeit,1. e4 d5 2. exd5 Qxd5 3. Nf3 Bg4 4. Be2 Nf6 5. Nc3 Qd8 6. O-O Nc6 7. Bc4 e6 8. h3 Bh5 9. d3 Bd6 10. Bg5 Ne5 11. g4 Nxf3+ 12. Qxf3 Bg6 13. Bxf6 gxf6 14. h4 h5 15. gxh5 Bxh5 16. Qxb7 Bg4 17. Qc6+ Ke7 18. Rae1 Rxh4 19. Nd5+ Kf8 20. Nxf6 Qxf6 21. Qxa8+ Kg7 22. Qg2 Bh2+ 23. Qxh2 Rxh2 24. Kxh2 Qh4+ 25. Kg2 Qh3+ 26. Kg1 Qf3 27. Re3 Qf5 28. Rg3 Kf8 29. f3 Bh5 30. Rf2 Bg6 31. Rh2 1-0
 Correspondence ,Jvayne,Wsjvayne,1-0,2016.06.30,22:00:02,1706,1317,27,-25,A00,Van't Kruijs Opening,-,Normal,1. e3 Nf6 2. Bc4 d6 3. e4 e6 4. Nf3 Nxe4 5. Nd4 Nxf2 6. Kxf2 Qh4+ 7. g3 Qxg3+ 8. Kxg3 d5 9. Bb5+ c6 10. Bf1 e5 11. Nf3 e4 12. Ne5 f6 13. Ng4 h5 14. Nf2 h4+ 15. Kf4 Bh3 16. Nxh3 g5+ 17. Nxg5 fxg5+ 18. Kxg5 Rh5+ 19. Qxh5+ Kd7 20. Qf7+ Kd6 21. Qxf8+ Kc7 22. Qf4+ Kb6 23. Qf2+ Kc7 24. Qf4+ Kc8 25. Bh3+ Kd8 26. Qd6+ Nd7 27. Bxd7 d4 28. d3 exd3 29. cxd3 b5 30. Kxh4 Rb8 31. Bg5# 1-0
 Blitz tournament ,kyoday,BrettDale,0-1,2016.06.30,22:00:02,1945,1900,-14,13,B90,"Sicilian Defense: Najdorf, Lipnitsky Attack",180+0,Time forfeit,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Bc4 Qc7 7. Bb3 b5 8. O-O Bb7 9. Re1 Nbd7 10. Be3 g6 11. f3 Bg7 12. Qe2 O-O 13. Rad1 b4 14. Na4 a5 15. Qf2 Rfc8 16. Ne2 Qd8 17. Bb6 Qe8 18. Be3 Ra6 19. c4 Nh5 20. Ng3 Nxg3 21. hxg3 Bc6 22. Qd2 Be5 23. Kf2 Ba8 24. Bd4 Rac6 25. f4 Bf6 26. g4 Nc5 27. Nxc5 dxc5 28. Be3 e5 29. f5 Be7 30. Kf3 Rd6 31. Qe2 Rcd8 32. Rxd6 Rxd6 33. Rd1 Qd7 34. Rxd6 Qxd6 35. Qd1 Qf6 36. Qd7 Bc6 37. Qc8+ Kg7 38. g5 Qd6 39. f6+ Bxf6 40. gxf6+ Qxf6+ 41. Ke2 Bxe4 42. Qg4 Bf5 43. Qg5 Qd6 44. Qh6+ Kg8 45. Ba4 Qd3+ 46. Kf2 Be6 47. Qg5 Qf5+ 48. Qxf5 Bxf5 49. b3 Be6 50. Bc1 f5 51. a3 e4 52. axb4 axb4 0-1
 Blitz tournament ,lucaseixasouza,diguim,0-1,2016.06.30,22:00:02,1773,1809,-10,10,C27,Vienna Game,180+0,Normal,1. e4 e5 2. Nc3 d6 3. Nf3 h6 4. Bc4 c6 5. b3 Qf6 6. Bb2 b5 7. Be2 Be6 8. d4 Be7 9. dxe5 dxe5 10. Qd2 Nd7 11. O-O-O Rd8 12. Bd3 a5 13. Ne2 b4 14. h4 g5 15. hxg5 hxg5 16. Rxh8 Qxh8 17. Nxg5 Bf8 18. Nxe6 fxe6 19. Qg5 Bh6 20. Qxh6 Qxh6+ 21. Kb1 Ngf6 22. g3 Ng4 23. f4 Ne3 24. Rd2 Nc5 25. Bxe5 Nxd3 26. Rxd3 Rxd3 27. cxd3 Qh1+ 28. Nc1 Qg2 29. Bd4 Qc2+ 30. Ka1 Nd1 31. Ne2 Qxe2 32. g4 Qxd3 33. Be5 Qxe4 34. g5 Ne3 35. g6 Qxg6 36. a4 Qg1+ 37. Kb2 Qf2+ 38. Ka1 Qe1+ 39. Kb2 Qd2+ 40. Ka1 Qc1+ 41. Ka2 Qc2+ 42. Bb2 Nd1 43. f5 Qxb2# 0-1
 Blitz tournament ,RENZZO77,HeadlessChicken,0-1,2016.06.30,22:00:02,1895,1886,-12,12,B10,Caro-Kann Defense: Two Knights Attack,180+0,Time forfeit,1. e4 c6 2. Nf3 d5 3. Nc3 dxe4 4. Nxe4 Nf6 5. Nxf6+ exf6 6. Bc4 Nd7 7. h3 Nb6 8. Bb3 Bd6 9. O-O O-O 10. a3 a5 11. d3 a4 12. Ba2 Be6 13. c4 Be7 14. Be3 Nd7 15. d4 Bf5 16. Nh4 Be4 17. f3 Bg6 18. Nxg6 hxg6 19. Qe2 Re8 20. Qf2 Bf8 21. Rad1 Nb6 22. Bf4 Nc8 23. d5 c5 24. Rfe1 Rxe1+ 25. Rxe1 Nd6 26. Qxc5 Nf5 27. Qc7 Qxc7 28. Bxc7 Bc5+ 29. Kh2 Bd4 30. g4 Nh4 31. Rf1 Bxb2 32. Bg3 g5 33. Bxh4 gxh4 34. Re1 Bxa3 35. Rb1 Ra7 36. Rb6 Bc5 37. Rb5 b6 38. Rb1 a3 39. Re1 g5 40. Re8+ Kg7 41. Kg2 Re7 42. Rxe7 Bxe7 43. Kf2 Bc5+ 44. Ke2 Kg6 45. Kd3 f5 46. Bb3 fxg4 47. fxg4 Kf6 48. Ke4 Bf2 49. d6 Bc5 50. Kd5 a2 51. Bxa2 Kg7 52. d7 Be7 53. Kc6 Kf6 54. Kxb6 Ke6 55. Kc7 f5 56. gxf5+ Kxf5 57. c5 Kf4 58. c6 Kg3 59. d8=Q Bxd8+ 60. Kxd8 Kxh3 61. c7 g4 62. c8=Q Kg3 63. Be6 h3 64. Bxg4 h2 0-1
 Blitz tournament ,ipero,Bayern123,1-0,2016.06.30,22:00:02,2155,2356,20,-20,D02,Queen's Pawn Game: London System,180+0,Normal,1. d4 d5 2. Nf3 Nf6 3. Bf4 c6 4. e3 Bg4 5. Be2 Nbd7 6. O-O e6 7. Nbd2 Be7 8. h3 Bh5 9. Ne5 Bxe2 10. Qxe2 Nxe5 11. Bxe5 O-O 12. c4 Nd7 13. Bg3 a6 14. a3 b5 15. cxd5 cxd5 16. Nb3 Nb6 17. Nc5 Nc4 18. b3 Nb6 19. Rac1 Ra7 20. Qd2 Bd6 21. Bxd6 Qxd6 22. Qa5 Rfa8 23. f3 Nd7 24. Nd3 e5 25. dxe5 Nxe5 26. Nxe5 Qxe5 27. Qb6 h5 28. Rfe1 h4 29. Rc6 Re7 30. Qc5 Rae8 31. Rc8 Qg5 32. f4 Qg3 33. Re2 Rxc8 34. Qxc8+ Kh7 35. Qg4 Qxg4 36. hxg4 f6 37. Kf2 g5 38. f5 Kg7 39. Kf3 Rc7 40. Rd2 Rc3 41. Rxd5 Rxb3 42. a4 bxa4 43. Ra5 a3 44. Rxa6 Rc3 45. Ke4 Rc2 46. Rxa3 Rxg2 47. Ra7+ Kf8 48. Kd5 Re2 49. e4 h3 50. Ke6 Rxe4+ 51. Kxf6 Ke8 52. Rh7 Rxg4 53. Rxh3 Kd7 54. Re3 Rg1 55. Re7+ Kd6 56. Rg7 g4 57. Rg5 g3 58. Kg7 g2 59. f6 Ke6 60. f7 Rf1 61. Rg6+ Ke7 62. Rxg2 Rxf7+ 63. Kg6 Rf6+ 64. Kg5 Rf7 65. Kh6 Kf8 66. Rc2 Ke7 67. Rc7+ Kf6 68. Rc6+ Ke7 69. Kg6 Kf8 70. Rc8+ Ke7 71. Rc7+ 1-0
 Blitz tournament ,Loginov19510410,Kereshu,0-1,2016.06.30,22:00:02,2010,2111,-9,9,A45,Indian Game,300+0,Normal,1. d4 Nf6 2. Bf4 e6 3. e3 d5 4. Nf3 h6 5. Bd3 Bd6 6. Ne5 a6 7. Nd2 c5 8. c3 Qc7 9. O-O Nbd7 10. Ndf3 O-O 11. Rc1 Nh5 12. Nxd7 Bxd7 13. Ne5 Nxf4 14. exf4 Be8 15. Bb1 Rc8 16. Qd3 f5 17. g4 Bxe5 18. fxe5 Bg6 19. Qg3 Qf7 20. gxf5 Bxf5 21. f4 cxd4 22. Bxf5 Qxf5 23. cxd4 Rxc1 24. Rxc1 Qxf4 25. Qxf4 Rxf4 26. Rc7 Rf7 27. Rc8+ Kh7 28. Re8 Rf4 29. Rxe6 Rxd4 30. Re7 Rd1+ 31. Kf2 Rd2+ 32. Ke3 Rxb2 33. Rd7 Rb1 34. Rxd5 Kg6 35. e6 Kf6 36. Rd6 Re1+ 37. Kf4 Rxe6 38. Rd7 Rb6 39. Rd4 a5 40. a4 Rb4 41. Rxb4 axb4 42. Ke4 g5 43. Kd4 h5 44. Kc4 g4 45. Kxb4 h4 46. Kb5 g3 47. hxg3 hxg3 48. Kb6 g2 49. Kxb7 g1=Q 50. a5 Qb1+ 51. Ka7 Qb5 52. a6 Ke6 53. Ka8 Qxa6+ 54. Kb8 Qc6 55. Ka7 Qb5 56. Ka8 Kd7 0-1
 Blitz tournament ,Shambobala,cernunnoss,1-0,2016.06.30,22:00:02,1764,1773,12,-12,B01,Scandinavian Defense: Mieses-Kotroc Variation,180+0,Time forfeit,1. e4 d5 2. exd5 Qxd5 3. Nf3 Nf6 4. Be2 c6 5. O-O g6 6. d4 Bg7 7. c4 Qd8 8. Be3 O-O 9. Nc3 Nbd7 10. Qd2 b6 11. Rac1 Bb7 12. Rfd1 e6 13. b4 Rc8 14. a4 Qe7 15. c5 a5 16. bxa5 bxa5 17. Rb1 Ba8 18. Bh6 Rfd8 19. Bxg7 Kxg7 20. Rb3 Nxc5 21. Rb6 Nce4 22. Nxe4 Nxe4 23. Qb2 c5 24. dxc5+ Kg8 25. Rxd8+ Rxd8 26. h3 Qxc5 27. Rb8 Qxf2+ 28. Kh2 Qg3+ 29. Kg1 Rxb8 30. Bb5 Bd5 31. Ne5 Qe3+ 32. Kh2 Qf4+ 33. Kh1 Nf2+ 34. Kg1 Rc8 35. Nd3 Nxd3 36. Bxd3 Rc1+ 37. Qxc1 Qxc1+ 38. Kh2 Qf4+ 39. Kg1 Qc1+ 40. Kf2 Qd2+ 41. Kg3 Qxd3+ 42. Kh2 Qd1 43. Kg3 1-0
